sample_id,spcode,branchlet_length_mm,branchlet_diameter_mm
FT01,JUPI,10.22,1.17
FT01,JUPI,11.08,1.22
FT01,JUPI,9.34,1.36
FT01,JUPI,8.85,1.07
FT01,JUPI,10.35,1.42
FT02,JUPI,10.27,1.22
FT02,JUPI,10.75,1.3
FT02,JUPI,11.37,1.47
FT02,JUPI,9.53,0.98
FT02,JUPI,11.24,1.08
FT03,JUPI,9.19,1.34
FT03,JUPI,8.94,1.21
FT03,JUPI,8.47,1.23
FT03,JUPI,9.33,1.16
FT03,JUPI,8.51,1.18
FT04,JUPI,7.91,1.27
FT04,JUPI,9.8,0.98
FT04,JUPI,6.7,1.08
FT04,JUPI,9.17,1.01
FT04,JUPI,7.51,1.14
FT05,JUPI,9.66,1.37
FT05,JUPI,8.06,1.17
FT05,JUPI,10.43,1.4
FT05,JUPI,11.09,1.11
FT05,JUPI,7.23,1.09
FT06,JUPI,9.28,1.32
FT06,JUPI,8.41,1.24
FT06,JUPI,9.4,1.16
FT06,JUPI,9.43,1.25
FT06,JUPI,7.52,1.34
FT07,JUPI,14.18,1.16
FT07,JUPI,12.22,1.04
FT07,JUPI,11.05,0.93
FT07,JUPI,9.71,1.08
FT07,JUPI,9.84,1.22
ST29,JUAS,19.23,1.13
ST29,JUAS,13.42,0.95
ST29,JUAS,12.38,1
ST29,JUAS,14.76,1.11
ST29,JUAS,14.99,0.99
ST30,JUAS,12.74,1.07
ST30,JUAS,14.58,1.21
ST30,JUAS,20.74,1.3
ST30,JUAS,13.86,1
ST30,JUAS,13.34,1.01
ST31,JUAS,15.9,1.14
ST31,JUAS,15.59,1.02
ST31,JUAS,14.42,1.09
ST31,JUAS,10.64,1.05
ST31,JUAS,11.69,1.08
ST32,JUAS,16.15,1.22
ST32,JUAS,13.72,1.01
ST32,JUAS,12.19,1.07
ST32,JUAS,7.56,1.13
ST32,JUAS,15.49,0.98
ST33,JUAS,15.92,1.23
ST33,JUAS,18.8,1.27
ST33,JUAS,12.24,1.1
ST33,JUAS,13.33,1.16
ST33,JUAS,13.9,1.24
ST34,JUAS,13.36,1.02
ST34,JUAS,15.12,1.13
ST34,JUAS,14.13,1.02
ST34,JUAS,15.8,0.99
ST34,JUAS,17.58,1.1
ST35,JUAS,13.85,1.32
ST35,JUAS,16.46,1.07
ST35,JUAS,12.93,1.04
ST35,JUAS,14.15,1.18
ST35,JUAS,11.78,1.02
ST36,JUAS,17.54,1.11
ST36,JUAS,10.01,0.94
ST36,JUAS,10.3,1.19
ST36,JUAS,9.35,0.89
ST36,JUAS,12.55,0.99
ST37,JUAS,13.71,1.04
ST37,JUAS,19.96,1.08
ST37,JUAS,14.92,1.16
ST37,JUAS,15.5,1.23
ST37,JUAS,15.83,1.24
ST38,JUAS,12.26,1.23
ST38,JUAS,14.85,1.13
ST38,JUAS,14.8,1.07
ST38,JUAS,14.12,1.19
ST38,JUAS,9.29,1.19
ST39,JUAS,16.68,1.55
ST39,JUAS,10.36,1.32
ST39,JUAS,12.86,1.17
ST39,JUAS,11.18,1.4
ST39,JUAS,11.11,1.16
ST40,JUAS,11.01,1.28
ST40,JUAS,10.24,1.07
ST40,JUAS,11.95,1.38
ST40,JUAS,7.28,0.95
ST40,JUAS,7.58,1.14
ST41,JUAS,9.97,1.16
ST41,JUAS,8.98,1.27
ST41,JUAS,9.2,1.28
ST41,JUAS,10.51,1.02
ST41,JUAS,10.01,1.15
ST42,JUAS,13.27,1.03
ST42,JUAS,12.26,1.18
ST42,JUAS,11.46,1.21
ST42,JUAS,22.27,1.14
ST42,JUAS,13.29,1.14
FRT22,JUPI,12.31,1.34
FRT22,JUPI,8.76,1.08
FRT22,JUPI,8.99,1.27
FRT22,JUPI,7.45,1.12
FRT22,JUPI,6.72,1.43
FRT23,JUPI,9.14,1.2
FRT23,JUPI,10.75,1.26
FRT23,JUPI,12.83,1.32
FRT23,JUPI,10.81,1.26
FRT23,JUPI,8.8,1.15
FRT24,JUPI,8.3,1.04
FRT24,JUPI,5.83,1.16
FRT24,JUPI,7.46,1.28
FRT24,JUPI,5.6,0.92
FRT24,JUPI,6.09,1.13
FRT25,JUPI,6.67,1.1
FRT25,JUPI,8.61,1.24
FRT25,JUPI,8.8,1.18
FRT25,JUPI,7.85,1.2
FRT25,JUPI,6.23,1.23
FRT26,JUPI,8.82,1.36
FRT26,JUPI,8.15,1.41
FRT26,JUPI,9.9,1.3
FRT26,JUPI,10.8,1.36
FRT26,JUPI,9.31,1.42
FRT27,JUPI,9.17,1.04
FRT27,JUPI,7.69,1.05
FRT27,JUPI,10.58,0.97
FRT27,JUPI,7.57,1.2
FRT27,JUPI,7,1.03
FRT28,JUPI,11.17,1.13
FRT28,JUPI,10.36,1.2
FRT28,JUPI,8.69,1.06
FRT28,JUPI,8.15,1.12
FRT28,JUPI,8.11,0.97
FRT29,JUPI,10.21,1.03
FRT29,JUPI,8.92,1.02
FRT29,JUPI,8.59,1.12
FRT29,JUPI,8.86,1.08
FRT29,JUPI,9.24,1.08
FRT30,JUPI,11.63,0.97
FRT30,JUPI,8.75,0.88
FRT30,JUPI,18.22,1.13
FRT30,JUPI,13.63,1.12
FRT30,JUPI,8.58,1.1
FRT31,JUPI,12.56,1.2
FRT31,JUPI,9.81,1.21
FRT31,JUPI,10.8,1.13
FRT31,JUPI,6.29,1.14
FRT31,JUPI,7.77,1.06
FRT32,JUPI,9.42,1.18
FRT32,JUPI,10.12,0.94
FRT32,JUPI,6.68,0.97
FRT32,JUPI,7.09,0.92
FRT32,JUPI,8.56,1.14
FRT33,JUPI,7.93,0.94
FRT33,JUPI,7.25,0.92
FRT33,JUPI,8.52,1.11
FRT33,JUPI,7.87,1.08
FRT33,JUPI,6.23,1.07
FRT34,JUPI,10.42,1.34
FRT34,JUPI,9.57,1.28
FRT34,JUPI,8.29,1.09
FRT34,JUPI,6.07,1.15
FRT34,JUPI,7.42,1.05
FRT35,JUPI,10.19,1.23
FRT35,JUPI,10.68,1.27
FRT35,JUPI,12,1.26
FRT35,JUPI,12.83,1.31
FRT35,JUPI,15.31,1.26
FFT02,JUAS,13.31,1.03
FFT02,JUAS,20.03,1.08
FFT02,JUAS,22.45,1.13
FFT02,JUAS,20.16,1.08
FFT02,JUAS,24.13,1.34
FFT03,JUAS,15.33,0.92
FFT03,JUAS,10.78,1.05
FFT03,JUAS,14.38,1.01
FFT03,JUAS,8.19,0.98
FFT03,JUAS,10.75,0.94
FFT05,JUAS,16.94,1.02
FFT05,JUAS,10.74,1.19
FFT05,JUAS,15.9,1.11
FFT05,JUAS,16.29,1.07
FFT05,JUAS,13.69,1.17
FFT06,JUAS,13.95,1.34
FFT06,JUAS,10.69,0.96
FFT06,JUAS,7.85,1.05
FFT06,JUAS,12.78,1.04
FFT06,JUAS,7.4,0.84
FFT07,JUAS,10.2,1.17
FFT07,JUAS,14.62,1.04
FFT07,JUAS,11.66,0.93
FFT07,JUAS,10.56,1
FFT07,JUAS,12.12,0.92
FFT15,JUAS,11.92,1.15
FFT15,JUAS,14.75,1.08
FFT15,JUAS,14.48,1.15
FFT15,JUAS,8.78,0.91
FFT15,JUAS,8.12,1.04
FFT23,JUPI,11.71,1.2
FFT23,JUPI,9.56,1.35
FFT23,JUPI,12.49,1.33
FFT23,JUPI,8.87,1.04
FFT23,JUPI,10.68,1.07
FFT24,JUPI,9.21,1.25
FFT24,JUPI,9,1.15
FFT24,JUPI,9.68,1.01
FFT24,JUPI,7.59,1
FFT24,JUPI,7.33,1.07
FFT25,JUPI,10.16,1.1
FFT25,JUPI,10.86,1.1
FFT25,JUPI,9.54,1.28
FFT25,JUPI,7.93,1.06
FFT25,JUPI,10.12,1.23
FFT26,JUPI,11.6,1.53
FFT26,JUPI,9.41,1.27
FFT26,JUPI,9.08,1.11
FFT26,JUPI,10.41,1.26
FFT26,JUPI,6.81,1.15
FFT27,JUPI,11.16,1.38
FFT27,JUPI,9.13,1.18
FFT27,JUPI,10.66,1.28
FFT27,JUPI,7.59,1.29
FFT27,JUPI,11,1.26
FFT28,JUPI,8.42,1.28
FFT28,JUPI,6.98,1.14
FFT28,JUPI,10.73,1.19
FFT28,JUPI,10.55,1.15
FFT28,JUPI,5.89,1.1
FFT29,JUPI,9.28,1.2
FFT29,JUPI,5.82,0.82
FFT29,JUPI,7.52,1.02
FFT29,JUPI,8.46,1.33
FFT29,JUPI,8.39,1.05
FFT01,JUAS,13.75,0.93
FFT01,JUAS,12.75,1.11
FFT01,JUAS,13.05,1.26
FFT01,JUAS,11.74,1.22
FFT01,JUAS,14.2,1.05
SXT30,JUAS,13.05,0.87
SXT30,JUAS,13.99,0.98
SXT30,JUAS,11.08,0.84
SXT30,JUAS,7.04,0.82
SXT30,JUAS,7.82,0.77
SXT31,JUAS,10.4,1
SXT31,JUAS,10.79,0.97
SXT31,JUAS,7.08,1.02
SXT31,JUAS,6.14,0.94
SXT31,JUAS,5.97,1.01
SXT32,JUAS,13.83,0.99
SXT32,JUAS,7.97,0.99
SXT32,JUAS,10.4,1.08
SXT32,JUAS,6.78,0.73
SXT32,JUAS,9.98,1.01
SVT08,JUPI,7.99,1.15
SVT08,JUPI,9.68,1.24
SVT08,JUPI,7.22,1.09
SVT08,JUPI,7.02,1.23
SVT08,JUPI,7.15,1.13
SVT09,JUPI,7.74,1
SVT09,JUPI,9.55,1.08
SVT09,JUPI,8.99,0.93
SVT09,JUPI,7.78,1.2
SVT09,JUPI,6.74,0.99
SVT10,JUPI,9.68,1.08
SVT10,JUPI,7.98,1.12
SVT10,JUPI,8.36,1.24
SVT10,JUPI,8.08,1.18
SVT10,JUPI,8.39,1.11
SVT11,JUPI,10.11,1.2
SVT11,JUPI,7.95,1.17
SVT11,JUPI,8.98,1.19
SVT11,JUPI,10.32,1.16
SVT11,JUPI,6.23,1.12
SVT12,JUPI,11.14,0.95
SVT12,JUPI,11.59,0.97
SVT12,JUPI,10.9,0.95
SVT12,JUPI,9.01,1.09
SVT12,JUPI,8.36,1.08
SVT13,JUPI,9.32,1.21
SVT13,JUPI,8.79,1.08
SVT13,JUPI,8.87,1.07
SVT13,JUPI,10.05,1.06
SVT13,JUPI,9.16,1.11
SVT14,JUPI,11.33,1.13
SVT14,JUPI,8.7,1.22
SVT14,JUPI,10.59,1.08
SVT14,JUPI,10.04,0.99
SVT14,JUPI,10.24,1.06
SVT15,JUPI,7.44,1.01
SVT15,JUPI,10.26,0.99
SVT15,JUPI,8.17,1.02
SVT15,JUPI,11.73,1
SVT15,JUPI,9.49,1.01
SVT16,JUPI,12.32,1.1
SVT16,JUPI,9.31,1.31
SVT16,JUPI,11.76,1.03
SVT16,JUPI,11.36,1.13
SVT16,JUPI,12.53,1.15
SVT17,JUPI,9.1,1.04
SVT17,JUPI,10.14,1
SVT17,JUPI,9.39,1
SVT17,JUPI,9.27,0.92
SVT17,JUPI,11.71,1.02
SVT18,JUPI,8.66,1.03
SVT18,JUPI,13.75,1.02
SVT18,JUPI,10.04,0.9
SVT18,JUPI,9.18,0.94
SVT18,JUPI,6.91,0.85
SVT19,JUPI,10.2,1.26
SVT19,JUPI,8.89,1.2
SVT19,JUPI,9.66,1.21
SVT19,JUPI,8.9,1.18
SVT19,JUPI,6.27,1.12
SVT20,JUPI,11.26,1.05
SVT20,JUPI,10.89,1
SVT20,JUPI,12.02,1.07
SVT20,JUPI,10.77,0.94
SVT20,JUPI,7.45,1.04
SVT21,JUPI,9.87,1.15
SVT21,JUPI,11.66,1.16
SVT21,JUPI,10.88,1.05
SVT21,JUPI,10.21,1.06
SVT21,JUPI,13.51,1.19
