sample_id,spcode,species,notes,sex
DK01,JUPI,Juniperus pinchotii,,
DK02,PRGL2,Prosopis glandulosa,,
DK03,RHTR,Rhus trilobata,,
DK04,JUPI,Juniperus pinchotii,,
DK05,PRGL2,Prosopis glandulosa,,
DK06,RHTR,Rhus trilobata,,
DK07,JUPI,Juniperus pinchotii,,
DK08,PRGL2,Prosopis glandulosa,,
DK09,RHTR,Rhus trilobata,,
DK10,JUPI,Juniperus pinchotii,,
DK11,PRGL2,Prosopis glandulosa,,
DK12,RHTR,Rhus trilobata,,
DK13,JUPI,Juniperus pinchotii,,
DK14,PRGL2,Prosopis glandulosa,,
DK15,RHTR,Rhus trilobata,,
DK16,JUPI,Juniperus pinchotii,,
DK17,PRGL2,Prosopis glandulosa,,
DK18,RHTR,Rhus trilobata,,
PHTR1,RHTR,Rhus trilobata,This is an extra sample from one of the Rhus trilobata because we collected bigger branch and this one is the left over,
PRGL21,PRGL2,Prosopis glandulosa,This is an extra sample from one of the mesquite because we collected bigger branch and this one is the left over,
DK19,JUPI,Juniperus pinchotii,,
DK20,PRGL2,Prosopis glandulosa,,
DK21,RHTR,Rhus trilobata,,
DK22,JUPI,Juniperus pinchotii,,
DK23,PRGL2,Prosopis glandulosa,,
DK24,RHTR,Rhus trilobata,,
DK25,JUPI,Juniperus pinchotii,,
DK26,PRGL2,Prosopis glandulosa,,
DK27,RHTR,Rhus trilobata,,
DK28,JUPI,Juniperus pinchotii,,
DK29,PRGL2,Prosopis glandulosa,,
DK30,RHTR,Rhus trilobata,,
DK31,JUPI,Juniperus pinchotii,,
DK32,PRGL2,Prosopis glandulosa,,
DK33,RHTR,Rhus trilobata,,
DK34,JUPI,Juniperus pinchotii,,
DK35,PRGL2,Prosopis glandulosa,,
DK36,RHTR,Rhus trilobata,,
DK37,JUPI,Juniperus pinchotii,,
DK38,PRGL2,Prosopis glandulosa,,
DK39,RHTR,Rhus trilobata,,
DK40,JUPI,Juniperus pinchotii,,
DK41,PRGL2,Prosopis glandulosa,,
DK42,RHTR,Rhus trilobata,,
DK43,JUPI,Juniperus pinchotii,,
DK44,PRGL2,Prosopis glandulosa,,
DK45,RHTR,Rhus trilobata,,
DK46,JUPI,Juniperus pinchotii,,
DK47,PRGL2,Prosopis glandulosa,,
DK48,RHTR,Rhus trilobata,,
DK49,JUPI,Juniperus pinchotii,,
DK50,PRGL2,Prosopis glandulosa,,
DK51,RHTR,Rhus trilobata,,
DK52,JUPI,Juniperus pinchotii,,
DK53,PRGL2,Prosopis glandulosa,,
DK54,RHTR,Rhus trilobata,,
JDK01,JUPI,Juniperus pinchotii,,
JDK02,JUPI,Juniperus pinchotii,,
JDK03,JUPI,Juniperus pinchotii,,
JDK04,JUPI,Juniperus pinchotii,,
JDK05,JUPI,Juniperus pinchotii,,
JDK06,JUPI,Juniperus pinchotii,,
JDK07,JUPI,Juniperus pinchotii,,
JDK08,JUPI,Juniperus pinchotii,,
JDK09,JUPI,Juniperus pinchotii,,
JDK10,JUPI,Juniperus pinchotii,,
DK55,JUPI,Juniperus pinchotiiJ,,
DK56,PRGL2,Prosopis glandulosa,,
DK57,RHTR,Rhus trilobata,,
DK58,JUPI,Juniperus pinchotii,,
DK59,PRGL2,Prosopis glandulosa,,
DK60,RHTR,Rhus trilobata,,
DK61,JUPI,Juniperus pinchotii,,
DK62,PRGL2,Prosopis glandulosa,,
DK63,RHTR,Rhus trilobata,,
DK64,JUPI,Juniperus pinchotii,,
DK65,PRGL2,Prosopis glandulosa,,
DK66,RHTR,Rhus trilobata,,
DK67,JUPI,Juniperus pinchotii,,
DK68,PRGL2,Prosopis glandulosa,,
DK69,RHTR,Rhus trilobata,,
DK70,JUPI,Juniperus pinchotii,,
DK71,PRGL2,Prosopis glandulosa,,
